ID,PredictedProb
0,0.641989815903
1,0.883596329249
2,0.849392871132
7,0.815609087348
10,0.872405013709
11,0.71758715237
13,0.899837725925
14,0.80062671367
15,0.844202898551
16,0.921478932348
17,0.765348889262
18,0.866333725029
19,0.858891500196
20,0.884351743047
25,0.835996866432
26,0.884155895025
29,0.820603211908
38,0.937244698114
41,0.926179284875
44,0.761750881316
45,0.747845671759
47,0.876126126126
48,0.877301214258
49,0.910315595098
50,0.894602988081
53,0.770675955459
56,0.691539365452
59,0.887877007442
60,0.672933803369
64,0.921772704381
65,0.854484919702
66,0.836760673717
68,0.860947904426
69,0.871733534777
70,0.885526831179
71,0.841363102233
72,0.84020389367
76,0.835781433608
80,0.925591740809
82,0.853427340384
83,0.882687034861
85,0.914036707515
86,0.850430865648
87,0.87553858206
89,0.814154216328
97,0.842734038386
99,0.814923619271
101,0.931271333445
102,0.71405673408
103,0.770466118292
104,0.878392367523
106,0.861045828437
107,0.821680376028
109,0.867233119407
111,0.735384141906
113,0.88015499972
114,0.755629051211
118,0.880714565497
119,0.882328912764
120,0.811946729338
123,0.896214537519
128,0.725518997258
129,0.853799451626
131,0.879259694477
133,0.8637737116
134,0.880630630631
136,0.911784455263
137,0.904459739242
139,0.75863130211
140,0.879259694477
142,0.819428123776
144,0.883685859773
146,0.90080297689
147,0.878392367523
148,0.941455430586
150,0.778314028314
151,0.765094286833
152,0.880826478653
155,0.906888254714
158,0.942630518717
159,0.84294947121
160,0.873090481786
161,0.748335291814
165,0.919906552515
166,0.725910693302
170,0.920689944603
171,0.878476302389
174,0.932474399866
175,0.912665771361
179,0.890423031727
180,0.94184712663
181,0.822953388171
184,0.930487941358
185,0.761261261261
187,0.863787700744
188,0.780258519389
190,0.918960886352
191,0.84392871132
192,0.898564713782
193,0.870250685468
196,0.912469923339
197,0.780552291422
198,0.804459739242
205,0.753108387891
211,0.852134743439
213,0.895123384254
214,0.842336746685
217,0.777950310559
218,0.814275921885
221,0.843321582452
222,0.865760170108
225,0.848119858989
229,0.75509204857
236,0.897193777629
237,0.940280342454
